attendance_percentage,assignment_score,midterm_score,quiz_average,study_hours_per_day,final_score,risk_level
38.2,30.3,80.2,21.4,0.4,41.8,MEDIUM
99.3,61.6,28.3,51.2,8.8,50.7,MEDIUM
91.0,22.2,23.9,56.5,3.2,46.1,MEDIUM
37.0,34.0,29.7,91.8,3.6,46.9,MEDIUM
65.6,34.7,61.5,58.8,8.5,55.2,MEDIUM
69.3,92.2,65.9,98.7,8.3,75.6,LOW
97.4,29.3,37.4,64.4,7.9,61.3,LOW
84.6,47.4,31.4,89.0,9.1,61.4,LOW
67.0,52.6,29.1,71.6,6.1,44.5,MEDIUM
37.2,49.6,72.2,21.4,8.2,52.5,MEDIUM
99.5,66.5,15.8,43.1,5.7,58.3,MEDIUM
80.0,56.2,33.0,84.6,4.0,57.9,MEDIUM
70.1,95.4,47.9,70.0,8.1,75.1,LOW
76.0,86.4,67.8,80.8,7.5,79.2,LOW
83.3,88.3,18.1,61.8,1.5,59.6,MEDIUM
70.5,70.9,61.2,31.8,5.7,57.6,MEDIUM
84.1,91.0,61.3,83.4,8.6,85.1,LOW
92.3,28.7,85.5,84.6,2.2,73.8,LOW
84.3,54.4,60.8,96.9,0.5,68.5,LOW
31.6,64.6,24.0,71.2,4.6,42.5,MEDIUM
92.4,71.4,25.7,37.3,5.6,61.6,LOW
46.0,68.5,39.3,73.0,9.1,58.0,MEDIUM
92.9,61.6,69.2,64.9,0.2,73.1,LOW
49.9,20.2,41.0,52.6,6.6,48.3,MEDIUM
93.2,65.3,49.1,22.4,8.0,64.1,LOW
58.4,81.0,59.0,31.7,6.6,54.1,MEDIUM
68.5,65.8,41.0,70.4,9.2,55.1,MEDIUM
69.3,84.7,18.8,86.4,8.8,63.2,LOW
86.5,45.1,40.3,93.9,1.2,62.9,LOW
84.4,51.9,23.4,67.0,7.7,57.5,MEDIUM
49.0,91.9,86.9,86.6,1.6,81.0,LOW
30.1,73.4,56.3,68.0,9.1,57.1,MEDIUM
99.9,29.3,98.2,51.0,2.0,63.6,LOW
43.5,69.0,84.1,85.9,0.3,75.5,LOW
56.3,24.5,68.3,26.4,6.3,41.6,MEDIUM
81.6,24.3,46.7,34.2,6.3,42.2,MEDIUM
70.8,55.5,47.0,31.5,7.3,48.4,MEDIUM
49.6,21.3,54.6,55.4,2.8,38.7,HIGH
80.0,55.9,22.6,52.3,8.6,52.8,MEDIUM
71.7,47.6,60.0,27.4,8.7,59.3,MEDIUM
87.8,93.8,93.1,98.6,5.7,98.2,LOW
34.7,82.2,12.0,94.9,6.7,45.5,MEDIUM
97.9,35.9,50.8,27.1,1.3,58.0,MEDIUM
55.1,94.4,28.2,93.3,4.0,60.0,LOW
94.9,57.1,28.4,99.7,9.1,65.5,LOW
35.5,33.1,44.2,37.5,4.2,43.8,MEDIUM
98.6,45.4,52.1,63.7,9.8,61.8,LOW
43.3,55.8,90.2,63.6,3.1,66.8,LOW
80.8,33.5,62.1,23.8,8.6,50.8,MEDIUM
33.0,85.4,48.8,42.8,0.5,50.9,MEDIUM
77.7,86.6,45.9,62.7,9.3,73.8,LOW
81.9,60.0,56.2,93.2,0.8,70.8,LOW
74.7,90.3,90.5,67.1,8.3,77.0,LOW
43.5,61.6,97.6,33.7,5.5,69.8,LOW
